Main Category,Subcategory IDs
Welding Tools,"Welding Tools,WELDING ROD, Welding Tools,Home,System,menu1,Shop"
WELDING ROD,WELDING ROD
COUPLING,"COUPLING,GASKET, COUPLING"
GASKET,GASKET
VALVES,VALVES
ACCESSORIES,"ACCESSORIES, ACCESSORIES,VALVES, ACCESSORIES,Fasteners & Hardware "
MOTOR,"MOTOR, MOTOR,Home,System,menu1,Shop,Mechanical Power Transmission"
Chemicals,"Chemicals, Chemicals,ACCESSORIES, Chemicals,Home,System,menu1,Shop,Chemicals & Lubricants"
Tape,Tape
CP Accessories,CP Accessories
MEASURING TAPE,MEASURING TAPE
GEL,"GEL,Chemicals & Lubricants"
Riveting Gun,Riveting Gun
Electrical & Electronic Components ,"Electrical & Electronic Components , Electrical & Electronic Components ,Home,System,menu1,Shop,Facility Maintenance"
Cable & Wire Tools,Cable & Wire Tools
Cutting Tools,"Cutting Tools, Cutting Tools,Home,System,menu1,Shop"
Antislip Products,"Antislip Products, Antislip Products,Batteries"
Fasteners & Hardware ,"Fasteners & Hardware , Lock,Fasteners & Hardware "
Pneumatics ,"Pneumatics ,Home,System,menu1,Shop, Pneumatics "
Abrasives,"Abrasives,Home,System,menu1,Shop"
Air Compression Equipment ,"Air Compression Equipment ,Home,System,menu1,Shop,Pneumatics "
Bearings,"Bearings,Home,System,menu1,Shop,Mechanical Power Transmission"
Mechanical Fasteners,"Mechanical Fasteners,Home,System,menu1,Shop,Facility Maintenance,Fasteners & Hardware "
Cable Cutter,"Cable Cutter,Home,System,menu1,Shop,Hand & Power Tools,Cable & Wire Tools, Cable Cutter"
Impact Wrench,"Impact Wrench,Home,System,menu1,Shop,Hand & Power Tools"
Limit Switch,"Limit Switch,Home,System,menu1,Shop,Facility Maintenance,Electrical & Electronic Components "
Safety Goggle (Splash),"Safety Goggle (Splash),Home,System,menu1,Shop,Safety,PPE"
Cleaning,"Cleaning,Home,System,menu1,Shop,Janitorial"
Appliances and Utilities,"Janitorial,Home,System,menu1,Shop,Appliances and Utilities, Safety,Home,System,menu1,Shop,Appliances and Utilities, Measuring Instruments & Tools,Home,System,menu1,Shop,Appliances and Utilities"
Safety,"Safety,Home,System,menu1,Shop, Safety"
Stationery,"Janitorial,Home,System,menu1,Shop,Stationery"
Medical & Health Care,"Medical & Health Care,Home,System,menu1,Shop,Safety"
WAVE PROJECT,"Cutting Tools,WAVE PROJECT, WAVE PROJECT"
Pliers,Pliers
Safety Identifications,"Safety Identifications,Home,System,menu1,Shop,Safety"
Plastic Bags,Plastic Bags
Screwdrivers & Keys,Screwdrivers & Keys
Bearing,Bearing
Hydraulics & Pneumatics,"Hydraulics & Pneumatics,Home,System,menu1,Shop,Facility Maintenance"
Lubricants,"Lubricants,Home,System,menu1,Shop,Chemicals & Lubricants"
Welding Supplies & Equipment,"Welding Supplies & Equipment,Home,System,menu1,Shop,Facility Maintenance"
ELECTRICAL SPARES FOR HHP,ELECTRICAL SPARES FOR HHP
