action,item id,item name,item code,item information
edit,201663,"ALLEN SCREW,UNBRAKO , SIZE-4X16",N51EG-012-0191,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201664,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-4X20",N51EG-012-0192,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201665,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-5X10",N51EG-012-0193,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201666,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-5X16",N51EG-012-0194,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201667,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-5X20",N51EG-012-0195,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201668,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-5X25",N51EG-012-0275,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201669,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-5X50",N51EG-012-0249,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201670,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-5X90",N31EG-012-0729,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201671,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-6X10",N31EG-012-0730,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201672,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-6X180",N51EG-012-0239,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,202281,Cloth Tape Double Sided Adhesive (2 Inch) 50mm,N71-DOUBLETAPE2,
edit,201673,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-6X16",N31EG-012-0732,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201674,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-6X20",N51EG-012-0203,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201675,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-6X25",N51EG-012-0204,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201676,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-6X30",N31EG-012-0733,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201677,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-6X35",N31EG-012-0734,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
edit,201678,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-8X10",N31EG-012-0735,"Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free"
